devid,pid,time,diff,data,rawdata,validity
,0,16:58:33:22,0s,,f4f4f4f4f4f4f4f4fe8a7e001a90007d33a20041063455233401ff09000cf1,invalid
04,164882,16:58:33:26,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028412f4f4f4f4f4f4f4f4fec4,valid
05,165207,16:58:33:29,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028557f4f4f4f4f4f4f4f4fe10,valid
06,3186,16:58:33:34,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c72f4f4f4f4f4f4f4f4fe72,valid
07,3237,16:58:33:38,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000ca5f4f4f4f4f4f4f4f4fe24,valid
0a,800,16:58:33:42,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000320f4f4f4f4f4f4f4f4fe26,valid
03,164550,16:58:33:47,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282c6f4f4f4f4f4f4f4f4fe68,valid
08,3310,16:58:33:51,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000ceef4f4f4f4f4f4f4f4fe3a,valid
01,164771,16:58:33:58,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283a3f4f4f4f4f4f4f4f4fe37,valid
09,3314,16:58:33:70,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf2f4f4f4f4f4f4f4f4feee,valid
06,3187,16:58:33:75,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c73f4f4f4f4f4f4f4f4fe71,valid
02,165033,16:58:33:79,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284a9f4f4f4f4f4f4f4f4fe89,valid
,0,16:58:33:83,0s,,7e001a90007d33a2004106846a464101ff0402847d33f4f4f4f4f4f4f4f4fe,invalid
05,165208,16:58:33:86,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028558f4f4f4f4f4f4f4f4fe0f,valid
0a,801,16:58:33:89,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000321f4f4f4f4f4f4f4f4fe25,valid
07,3238,16:58:33:91,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000ca6f4f4f4f4f4f4f4f4fe23,valid
03,164551,16:58:33:94,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282c7f4f4f4f4f4f4f4f4fe67,valid
08,3311,16:58:34:43,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000ceff4f4f4f4f4f4f4f4fe39,valid
01,164772,16:58:34:10,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283a4f4f4f4f4f4f4f4f4fe36,valid
09,3315,16:58:34:22,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf3f4f4f4f4f4f4f4f4feed,valid
04,164884,16:58:34:30,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028414f4f4f4f4f4f4f4f4fec2,valid
05,165209,16:58:34:33,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028559f4f4f4f4f4f4f4f4fe0e,valid
02,165034,16:58:34:37,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284aaf4f4f4f4f4f4f4f4fe88,valid
06,3188,16:58:34:40,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c74f4f4f4f4f4f4f4f4fe70,valid
